Drug_Name,Pattern,PubChem_ID,Source,norm,SMILES
Dapagliflozin,ADReCS: Respiratory tract infections,9887712,ADReCS_only,dapagliflozin,CCOc1ccc(Cc2cc(C3OC(CO)C(O)C(O)C3O)ccc2Cl)cc1
Dapsone,ADReCS: Acute respiratory failure,2955,ADReCS_only,dapsone,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1
Darifenacin,ADReCS: Bronchial disorders (excl neoplasms),444031,ADReCS_only,darifenacin,NC(=O)C(c1ccccc1)(c1ccccc1)C1CCN(CCc2ccc3c(c2)CCO3)C1
Darunavir,ADReCS: Acute respiratory distress syndrome,213039,ADReCS_only,darunavir,CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12)S(=O)(=O)c1ccc(N)cc1
Deferasirox,ADReCS: Bronchial disorders (excl neoplasms),214348,ADReCS_only,deferasirox,O=C(O)c1ccc(-n2nc(-c3ccccc3O)nc2-c2ccccc2O)cc1
Deferiprone,ADReCS: Acute respiratory distress syndrome,2972,ADReCS_only,deferiprone,Cc1c(O)c(=O)ccn1C
Defibrotide sodium,ADReCS: Lower respiratory tract disorders (excl obstruction and infection),135565962,ADReCS_only,defibrotide,CC(C)c1cc(-c2n[nH]c(=O)n2-c2ccc3c(ccn3C)c2)c(O)cc1OP(=O)(O)O
Deflazacort,ADReCS: Asthma,189821,ADReCS_only,deflazacort,CC(=O)OCC(=O)C12N=C(C)OC1CC1C3CC=C4CC(=O)C=CC4(C)C3C(O)CC12C
Degarelix,ADReCS: Thoracic disorders (excl lung and pleura),16136245,ADReCS_only,degarelix,CC(=O)NC(Cc1ccc2ccccc2c1)C(=O)NC(Cc1ccc(Cl)cc1)C(=O)NC(Cc1cccnc1)C(=O)NC(CO)C(=O)NC(Cc1ccc(NC(=O)C2CC(=O)NC(=O)N2)cc1)C(=O)NC(Cc1ccc(NC(N)=O)cc1)C(=O)NC(CC(C)C)C(=O)NC(CCCCNC(C)C)C(=O)N1CCCC1C(=O)NC(C)C(N)=O
Delafloxacin,ADReCS: Respiratory disorders NEC,487101,ADReCS_only,delafloxacin,Nc1nc(-n2cc(C(=O)O)c(=O)c3cc(F)c(N4CC(O)C4)c(Cl)c32)c(F)cc1F
