Drug_Name,SMILES,PubChem_ID,CID,CID_Source,score,status,PUG_View,Assay_Summary
trimethidinium,CC12CCC(C[N+](C)(CCC[N+](C)(C)C)C1)C2(C)C,,26484.0,Drug_Name,0,ok,0,0
dichlorophen,Oc1ccc(Cl)cc1Cc1cc(Cl)ccc1O,,3037.0,Drug_Name,91,ok,91,0
propatylnitrate,CCC(CO[N+](=O)[O-])(CO[N+](=O)[O-])CO[N+](=O)[O-],,66261.0,Drug_Name,2,ok,2,0
endralazine,NNc1cc2c(nn1)CCN(C(=O)c1ccccc1)C2,,47608.0,Drug_Name,0,ok,0,0
sulfasomizole,Cc1cc(NS(=O)(=O)c2ccc(N)cc2)sn1,,69433.0,Drug_Name,0,ok,0,0
sulfamethylthiazole,Cc1csc(NS(=O)(=O)c2ccc(N)cc2)n1,,68194.0,Drug_Name,1,ok,1,0
orphenadrine,Cc1ccccc1C(OCCN(C)C)c1ccccc1,,4601.0,Drug_Name,53,ok,53,0
moxastine,CN(C)CCOC(C)(c1ccccc1)c1ccccc1,,19142.0,Drug_Name,0,ok,0,0
dextrofemine,CC(COc1ccccc1)NC(C)Cc1ccccc1,,71879.0,Drug_Name,0,ok,0,0
bifemelane,CNCCCCOc1ccccc1Cc1ccccc1,,2377.0,Drug_Name,1,ok,1,0
pramiracetam,CC(C)N(CCNC(=O)CN1CCCC1=O)C(C)C,,51712.0,Drug_Name,1,ok,1,0
leflunomide,Cc1oncc1C(=O)Nc1ccc(C(F)(F)F)cc1,,3899.0,Drug_Name,78,ok,78,0
epervudine,CC(C)c1cn(C2CC(O)C(CO)O2)c(=O)[nH]c1=O,,512735.0,Drug_Name,0,ok,0,0
sulfamethizole,Cc1nnc(NS(=O)(=O)c2ccc(N)cc2)s1,,5328.0,Drug_Name,71,ok,71,0
hexestrol,CCC(c1ccc(O)cc1)C(CC)c1ccc(O)cc1,,192197.0,Drug_Name,35,ok,35,0
tolonium,Cc1cc2nc3ccc(N(C)C)cc3[s+]c2cc1N,,7084.0,Drug_Name,0,ok,0,0
