smiles,Drug_Name,norm,PubChem_ID
CCCC1CC(=O)N(C(CC)C(N)=O)C1,Brivaracetam,brivaracetam,9837243
O=C1CN=C(c2ccccn2)c2cc(Br)ccc2N1,Bromazepam,bromazepam,2441
Nc1c(CC(=O)O)cccc1C(=O)c1ccc(Br)cc1,Bromfenac,bromfenac,60726
CN(Cc1cc(Br)cc(Br)c1N)C1CCCCC1,Bromhexine,bromhexine,2442
CCCC1OC2CC3C4CC=C5CC(=O)C=CC5(C)C4C(O)CC3(C)C2(C(=O)CO)O1,Budesonide,budesonide,5281004
CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,Bupropion,bupropion,444
O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1,Buspirone,buspirone,2477
CCC(C)C1(CC)C(=O)NC(=O)NC1=O,Butabarbital,butabarbital,2479
Oc1ccc2c(c1)C13CCCCC1(O)C(C2)N(CC1CCC1)CC3,Butorphanol,butorphanol,5361092
CCCC[N+]1(C)C2CC(OC(=O)C(CO)c3ccccc3)CC1C1OC12,Butylscopolamine bromide,butylscopolamine bromide,656587
C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CCCC(C)(C)O,Calcifediol,calcifediol,5283731
CC(C)CC(NC(=O)C(CCCCN)NC(=O)CNC(=O)C(CC(C)C)NC(=O)C(NC(=O)C1CSSCC(N)C(=O)NC(CO)C(=O)NC(CC(N)=O)C(=O)NC(CC(C)C)C(=O)NC(CO)C(=O)NC(C(C)O)C(=O)N1)C(C)C)C(=O)NC(CO)C(=O)NC(CCC(N)=O)C(=O)NC(CCC(=O)O)C(=O)NC(CC(C)C)C(=O)NC(Cc1c[nH]cn1)C(=O)NC(CCCCN)C(=O)NC(CC(C)C)C(=O)NC(CCC(N)=O)C(=O)NC(C(=O)NC(Cc1ccc(O)cc1)C(=O)N1CCCC1C(=O)NC(CCCNC(=N)N)C(=O)NC(C(=O)NC(CC(N)=O)C(=O)NC(C(=O)NCC(=O)NC(CO)C(=O)NCC(=O)NC(C(=O)N1CCCC1C(N)=O)C(C)O)C(C)O)C(C)O)C(C)O,Calcitonin,calcitonin,16220016
CC(C)CC(NC(=O)C(CCCCN)NC(=O)CNC(=O)C(CC(C)C)NC(=O)C(NC(=O)C1CSSCC(N)C(=O)NC(CO)C(=O)NC(CC(N)=O)C(=O)NC(CC(C)C)C(=O)NC(CO)C(=O)NC(C(C)O)C(=O)N1)C(C)C)C(=O)NC(CO)C(=O)NC(CCC(N)=O)C(=O)NC(CCC(=O)O)C(=O)NC(CC(C)C)C(=O)NC(Cc1c[nH]cn1)C(=O)NC(CCCCN)C(=O)NC(CC(C)C)C(=O)NC(CCC(N)=O)C(=O)NC(C(=O)NC(Cc1ccc(O)cc1)C(=O)N1CCCC1C(=O)NC(CCCN=C(N)N)C(=O)NC(C(=O)NC(CC(N)=O)C(=O)NC(C(=O)NCC(=O)NC(CO)C(=O)NCC(=O)NC(C(=O)N1CCCC1C(N)=O)C(C)O)C(C)O)C(C)O)C(C)O,Calcitonin (salmon),calcitonin (salmon),16133812
C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(C)(C)O)CC(O)CC1O,Calcitriol,calcitriol,5280453
Cc1ccc(C2OC(CO)C(O)C(O)C2O)cc1Cc1ccc(-c2ccc(F)cc2)s1,Canagliflozin,canagliflozin,24812758
C=C(C)C1CCC(C)=CC1c1c(O)cc(CCCCC)cc1O,Cannabidiol,cannabidiol,644019
Nc1nc(=O)c2ncn(C3OC(COP(=O)(O)O)C(OP(=O)(O)O)C3O)c2[nH]1,Capromab pendetide,capromab pendetide,135509147
C[N+](C)(C)CCOC(N)=O,Carbachol,carbachol,5831
CC(Cc1ccc(O)c(O)c1)(NN)C(=O)O,Carbidopa,carbidopa,34359
CN(C)CCOC(c1ccc(Cl)cc1)c1ccccn1,Carbinoxamine,carbinoxamine,2564
