Drug_Name,PubChem_ID
Hydroxyethyl starch,NOT_FOUND
Hydroxylamine sulfate,24846
Hydroxyquinoline,NOT_FOUND
Hydroxyurea (hydroxycarbamide),NOT_FOUND
Hyperalimentation,NOT_FOUND
Hypertonic saline (NaCl),NOT_FOUND
Hypertonic sodium phosphate enema,NOT_FOUND
Hypochlorous acid - Bleach,NOT_FOUND
IVDU - IVDA,NOT_FOUND
Ibogaine,197060
Ibritumomab tiuxetan (90Y),NOT_FOUND
Icotinib,22024915
Ifenprodil,3689
Iguratimod,124246
Imidacloprid,86287518
Imidapril,5464343
Imipenem-cilastatin,17756656
Immune checkpoint inhibitors (ICI) - ICI combinatorial Rx,NOT_FOUND
"Immunoglobulins, intravenous (IVIG)",NOT_FOUND
Immunosuppressive drugs/regimens,NOT_FOUND
Immunotoxins,NOT_FOUND
Incense (smoked),NOT_FOUND
Indigo,10215
Indigo-indirubin,NOT_FOUND
Inflammatory bowel disease modifying drugs,NOT_FOUND
Inflectra,NOT_FOUND
Infliximab biosimilar,NOT_FOUND
Influenza vaccine,NOT_FOUND
Inhalants (volatile substances),NOT_FOUND
Inhaled anesthetic agents,NOT_FOUND
Insecticides - Insect repellents,NOT_FOUND
Insulin,70678557
Insulin (inhaled -technospheres),NOT_FOUND
Interferon alpha/beta,NOT_FOUND
Interferon beta1a (inhaled),NOT_FOUND
Interferon gamma,NOT_FOUND
Interleukin 2 (IL2),NOT_FOUND
Intrapleural drug delivery,NOT_FOUND
"Iodine, radioactive (131I)",NOT_FOUND
"Iodine-, iodide fumes",NOT_FOUND
Ipecac,NOT_FOUND
Irofulven,148189
Iron pill (aspirated),NOT_FOUND
Iron-dextran,105075
Isocyanates,105034
Isoniazid - INH,NOT_FOUND
Isopropanol (isopropyl alcohol - IPA),NOT_FOUND
Isopropylantipyrine,3778
Isosulfan blue,50108
Ispaghula,NOT_FOUND
Itolizumab,NOT_FOUND
JAK inhibitors,NOT_FOUND
Kayexalate,NOT_FOUND
Kerdane,NOT_FOUND
Khat leave chewing,NOT_FOUND
Kratom (Mitragynine),NOT_FOUND
LCZ696,71300864
Lactase,NOT_FOUND
Lactose (inhaled),NOT_FOUND
Lambrolizumab,166078561
Landiolol,114905
Laninamivir,502272
Latex,NOT_FOUND
Laundry detergent pods,NOT_FOUND
Laxatives - Cathartics,NOT_FOUND
Lead,5352425
Ledipasvir,67505836
Ledipasvir/Sofosbuvir,NOT_FOUND
"Left behind gauze, sponge, canvas, fabric (at surgery)",NOT_FOUND
Legal highs,NOT_FOUND
Lepirudin,118856773
Leukotriene receptor antagonists (LTRA),NOT_FOUND
Leuprorelin - Leuprolide,NOT_FOUND
Levamisole,26879
Levamisole-adulterated/tainted cocaine,NOT_FOUND
Levodopa (l-DOPA),NOT_FOUND
Levofolinate,135398559
Levomepromazine,72287
Licorice,NOT_FOUND
"Lidocaine (lignocaine, xylocaine)",NOT_FOUND
Lidocaine (topical),NOT_FOUND
Lipid-lowering drugs,NOT_FOUND
Lipids (parenteral),NOT_FOUND
Lipiodol - Iodinated/iodized oil (RCM),NOT_FOUND
Liposuction,NOT_FOUND
Lipstick,NOT_FOUND
Liquorice,NOT_FOUND
"Lithium, lithium poisoning",NOT_FOUND
Lithotrypsy,NOT_FOUND
Lomustine (CCNU),NOT_FOUND
Loxoprofen,3965
Lubricant mineral oil (orally),NOT_FOUND
Lutetium 177 (177Lu vipivotide tetraxetan),NOT_FOUND
Lymphocyte (donor) infusion,NOT_FOUND
Lymphography,NOT_FOUND
MDMA (see under ecstasy),NOT_FOUND
MT-45,431865
MTOR inhibitors,NOT_FOUND
Macro-aggregated albumin (& 99Tc tagged),NOT_FOUND
Magnesium-containing drugs,NOT_FOUND
Malachite green,11294
Malaria prophylaxis,NOT_FOUND
Malathion,4004
Mammaplasty,NOT_FOUND
Manidipine,4008
"Marijuana (haschish), synthetic",NOT_FOUND
"Marijuana, cannabis (haschish, hash, bang, dab)",NOT_FOUND
Masitinib,10074640
Matuzumab,NOT_FOUND
Mavrilimumab,NOT_FOUND
Mazindol,4020
Mechanical ventilation (invasive),NOT_FOUND
Mechanical ventilation (noninvasive),NOT_FOUND
Menthol - Mentholine,NOT_FOUND
Menthol cigarette,NOT_FOUND
Meperfluthrin,56841697
Mephedrone,45266826
Mephenesin,4059
Mephenidate (Methylphenidate),NOT_FOUND
Mercaptopurine (6-mercaptopurine),NOT_FOUND
"Mercury (Hg) (fluid, metallic, elemental) i.v., i.m.",NOT_FOUND
"Mercury (fluid), p.o.",NOT_FOUND
Mercury fumes/vapor,NOT_FOUND
Mercury salts,NOT_FOUND
Mesalamine (see under mesalazine),NOT_FOUND
Mesalazine-Mesalamine-5-aminosalicylic acid-5-ASA,NOT_FOUND
Mesulergine,68848
Metaflumizone,11614934
Metals (heavy-),NOT_FOUND
Metamizole,3111
Metapramine,65700
Metaraminol,5906
Methacrylate - Methylmethacrylate,NOT_FOUND
"Methadone, inhaled",NOT_FOUND
"Methamphetamine, smoked",NOT_FOUND
Methanol (inhaled),NOT_FOUND
"Methanol (oral, topical/dermal, systemic)",NOT_FOUND
Methaqualone,6292
Methemoglobinemia-inducing drugs,NOT_FOUND
Methenolone,3037705
Methergine,5281072
Methoxetamine,52911279
Methyl bromide,6323
Methyl chloride,6327
Methylene chloride,6344
Methylenedioxymethamphetamine,1615
Methylergometrine,8226
Methylglyoxal,880
Methylisothiazolinone (inhaled),NOT_FOUND
Methylone,45789647
Methylprednisolone pulse therapy,NOT_FOUND
Microspheres,NOT_FOUND
Microtubule inhibitors,NOT_FOUND
"Minocycline (topical, transdermal)",NOT_FOUND
Miriplatin,9832045
Mitomycin (intracavitary in the urinary bladder),NOT_FOUND
Mitomycin C,5746
Mitragynine,3034396
Mogamulizumab,NOT_FOUND
Monooctanoin,3033877
"Morphine, intrathecal",NOT_FOUND
Mothballs,931
Moxalactam,47499
Moxetumomab pasudotox,NOT_FOUND
Moxidectin,9832912
"Muromonab-CD3 (OKT3, orthoclone)",NOT_FOUND
Mushrooms - Mushroom poisoning,NOT_FOUND
